#
#  chlamycyc 8.0 Reactions link table generated on Fri Jun 29, 2018
#
3.2.1.58-RXN	EC-3.2.1.58
PROSTAGLANDIN-D-SYNTHASE-RXN	EC-5.3.99.2
RXN-16045	EC-2.3.1.23
RXN-13721	EC-3.1.2.4
ACETATE--COA-LIGASE-ADP-FORMING-RXN	EC-6.2.1.13
RXN-7913	EC-2.7.4.25	EC-2.7.4.14	EC-2.7.4.13
RXN-4821	EC-3.5.99
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	EC-2.4.1.12
RXN-17870	EC-2.3.1.258
RXN-2981	EC-3.5.1
RXN1F-147	EC-5.5.1.18
SULFUR-DIOXYGENASE-RXN	
3.3.2.10-RXN	EC-3.3.2.10
R145-RXN	EC-4.2.1.109
RXN-8675	
RXN-9922	
DCTP-DEAM-RXN	EC-3.5.4.13
RXN66-12	
RXN-7698	EC-1.1.1.330
RXN-12395	
RXN-12539	
RXN0-722	EC-1.17.4.1
RXN-8304	EC-1.14.19.42
RXN-12541	
RXN0-5244	
RXN-5643	EC-2.1.1.103
DIHYDROPYRIMIDINASE-RXN	EC-3.5.2.2
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	EC-1.17.4.1
RXN-15479	EC-1.97.1.12
RXN-11958	EC-1.14.13
RXN0-724	EC-1.1.98.6
HOLOCYTOCHROME-C-SYNTHASE-RXN	EC-4.4.1.17
RXN-7864	EC-2.3.1.45
RXN-6081	
URIDINE-NUCLEOSIDASE-RXN	EC-3.2.2.3
2.7.1.148-RXN	EC-2.7.1.148
RXN0-723	EC-1.1.98.6
RXN-15596	
RXN-17631	
RXN-13305	EC-4.2.1.134
ORNITHINE--OXO-ACID-AMINOTRANSFERASE-RXN	EC-2.6.1.13
RXN-6381	EC-1.4.3.22
RXN-12303	EC-1.6.5.2
ISOCHORSYN-RXN	EC-5.4.4.2
RXN-13719	EC-1.1.1.272
RXN-6382	EC-1.2.1
RXN-12864	
3-ISOPROPYLMALISOM-RXN	
CATECHOL-O-METHYLTRANSFERASE-RXN	EC-2.1.1.6
PROPIONATE--COA-LIGASE-RXN	EC-6.2.1.17
RXN-12869	
RXN-12718	EC-3.7.1.17
3.1.3.57-RXN	EC-3.1.3.57
ACETOACETATE-DECARBOXYLASE-RXN	EC-4.1.1.4
RXN-6383	EC-4.2.1.116
2-OH-6-OXOHEPTA-2-4-DIENOATE-HYDR-RXN	EC-3.7.1
3.3.2.9-RXN	EC-3.3.2.9
RXN-6384	EC-3.1.2.4
RXN1F-150	EC-5.5.1.19
RXN-1827	EC-3.2.1.2
RXN-12943	
RXN-8163	EC-1.4.3.3
3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN	EC-1.1.1.59
RXN-6581	
RXN-13198	EC-1.1.1.1
RXN-17753	
PROPCOASYN-RXN	EC-1.3.8
RXN-18186	
HYDROG-RXN	EC-1.12.7.2
GLUCOSE-6-PHOSPHATASE-RXN	EC-3.1.3.58
TRANS-RXN-227	
RXN-13459	
2.6.1.18-RXN	EC-2.6.1.18
RXN-5463	EC-2.4.1.257
TRANS-RXN0-237	
RXN-18266	EC-2.4.1.122
RXN-13463	
NADH-KINASE-RXN	EC-2.7.1.86
XMPXAN-RXN	EC-3.1.3.5
RXN-7282	
RXN-15745	EC-1.1.5.3
RXN-8899	
RXN-1726	EC-1.14.19.23
DTDPDEHYDRHAMEPIM-RXN	EC-5.1.3.13
FADSYN-RXN	EC-2.7.7.2
DIHYDROXYISOVALDEHYDRAT-RXN	EC-4.2.1.9
RXN-14815	EC-5.1.3
RXN0-6452	
RXN-13667	EC-2.1.1
2.8.1.6-RXN	EC-2.8.1.6
RXN-7568	EC-2.5.1.130
GSHTRAN-RXN	EC-2.5.1.18
CERAMIDASE-YEAST-RXN	EC-3.5.1.23
GLUCONOLACT-RXN	EC-3.1.1.17
3.6.3.7-RXN	EC-3.6.3.7
RXN-14056	
RXN-9952	EC-1.1.1.44
HYPOTAURINE-DEHYDROGENASE-RXN	EC-1.8.1.3
RXN0-3921	EC-1.4.3
RXN-16765	
RXN-10847	EC-2.1.1.164
THROMBOXANE-A-SYNTHASE-RXN	EC-5.3.99.5
RXN-14290	
RXN-8367	EC-1.14.19.35
RXN-7741	EC-1.3.7.12
1.17.4.2-RXN	EC-1.17.4.2
RXNQT-4335	EC-1.14.13.237
2.4.2.38-RXN	EC-2.4.2.38
RXN1F-93	EC-1.14.11.23
RXN-18031	
RXN-14834	EC-2.1.1
RXN-7676	
RXN-18032	
RXN-5462	EC-2.4.1.132
RXN-16519	EC-1.3.7.11
RXN-13298	EC-1.1.1.330
PANTEPADENYLYLTRAN-RXN	EC-2.7.7.3
RXN-14396	
RXN-14352	
RXN-12131	
RXN-14409	
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	EC-3.6.1.67
RXN-14025	EC-3.1.3.5
RXN0-7080	
BETA-LACTAMASE-RXN	EC-3.5.2.6
RXN-14500	
2PGADEHYDRAT-RXN	EC-4.2.1.11
TRYPSYN-RXN	EC-4.2.1.20
RXN-7203	
RXN-14501	
6.3.4.11-RXN	EC-6.3.4.11
3.6.3.34-RXN	EC-3.6.3.34
RXN-6321	
2.4.2.12-RXN	EC-2.4.2.12
RXN-14503	
RXN-15123	EC-3.5.99
RXN-9193	
ADENPHOSPHOR-RXN	EC-2.4.2.1
2.4.1.68-RXN	EC-2.4.1.68
METHIONINE-GAMMA-LYASE-RXN	EC-4.4.1.11
PALMITOYL-COA-HYDROLASE-RXN	EC-3.1.2.2
2.4.1.119-RXN	EC-2.4.99.18
RXN1G-395	EC-1.3.1.9
RXN-19022	
RXN-12202	EC-2.7.9.5
3.6.4.1-RXN	EC-3.6.4.1
RXN-14753	
1.8.4.9-RXN	EC-1.8.4.9
LYSOPHOSPHOLIPASE-RXN	EC-3.1.1.5
1.1.1.39-RXN	EC-1.1.1.38	EC-1.1.1.39
RXN-9830	EC-1.14.15.16
RXN-14808	
PHENYLPYRUVATE-TAUTOMERASE-RXN	EC-5.3.2.1
3.1.4.11-RXN	EC-3.1.4.11
RXN-14809	
RXN0-1483	EC-1.16.3.1
H2PTERIDINEPYROPHOSPHOKIN-RXN	EC-2.7.6.3
4.4.1.14-RXN	EC-4.4.1.14
RXN-8003	EC-1.14.19
RXN-15510	
R181-RXN	EC-3.7.1.19
PHOSPHORIBULOKINASE-RXN	EC-2.7.1.19
ACYL-COA-HYDROLASE-RXN	EC-3.1.2.20
RXN-8642	
RXN-9556	EC-1.1.1.100
RXN-14812	
RXN-5466	EC-2.4.1.258
RXN-9472	
RXN-12623	EC-3.2.1.202
RXN-12484	EC-1.1.1.2
RXN-9623	EC-6.2.1.3
VALINE--TRNA-LIGASE-RXN	EC-6.1.1.9
RXN-14882	
RXN-12863	
RXN-10639	
KETOISOCAPROATE-RXN	EC-1.2.4.4
GLURS-RXN	EC-6.1.1.17
1.3.1.9-RXN	EC-1.3.1.9
RXN-9365	EC-2.5.1.74
RXN-18232	
RXN-19146	
RXN-11455	EC-3.5.4.32
RXN-8992	EC-2.5.1.90
RXN-16528	
GLYOXYLATE-REDUCTASE-NADP+-RXN	EC-1.1.1.79
2.4.1.57-RXN	EC-2.4.1.345
INOPHOSPHOR-RXN	EC-2.4.2.1
ARYLAMINE-SULFOTRANSFERASE-RXN	EC-2.8.2.3
RXN-14960	
RXN0-7010	EC-1.8.5.7
RXN-8153	
RXN0-1001	EC-3.1.3.8
GLYCINE-AMINOTRANSFERASE-RXN	EC-2.6.1.4
RXN-8664	EC-1.13.11.52
RXN-14997	
RXN-14019	EC-1.14.13
RXN-12728	EC-2.5.1
GAPOXNPHOSPHN-RXN	EC-1.2.1.12
RXN-9628	EC-3.1.2.2
RXN-9359	EC-2.5.1.74
RXN-10454	
TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN	EC-2.5.1.30
RXN-8172	
RXN-1728	EC-1.14.19.42
RXN-7799	EC-2.7.1.138
PNKIN-RXN	EC-2.7.1.35
2.4.1.141-RXN	EC-2.4.1.141
RXN-18193	
RXN-8173	
RXN-9535	EC-2.3.1.179	EC-2.3.1.41	EC-2.3.1.85	EC-2.3.1.86
RXN-10720	
RXN-10852	
RXN1F-10	EC-1.3.1.33
RXN-8243	
RXN66-472	EC-1.2.1.3
RXN-15139	
RXN-14024	EC-3.6.1.5
RXN-7972	EC-1.1.1.287
RXN-18356	
3.6.3.4-RXN	EC-3.6.3.4
RXN-8315	
UMPKI-RXN	EC-2.7.4.14
RXN-15345	
TRANS-RXN4LZ-7008	
RXN-8088	EC-1.2.3.9
RXN-15348	
RXN-12002	EC-2.7.4.22	EC-2.7.4.14
ARGSUCCINSYN-RXN	EC-6.3.4.5
RXN-15011	EC-2.4.2.58
RXN-13908	EC-4.2.1.96
RXN-3482	
OMEGA-AMIDASE-RXN	EC-3.5.1.3
NICOTINE-DEHYDROGENASE-RXN	EC-1.5.99.4
RXN-17356	
2.6.1.7-RXN	EC-2.6.1.7
3.6.3.36-RXN	EC-3.6.3.36
RXN-8461	
3.6.3.47-RXN	EC-3.6.3.47
HISTCYCLOHYD-RXN	EC-3.5.4.19
RXN66-25	EC-5.3.3.5
RXN-15651	
PHOSACETYLTRANS-RXN	EC-2.3.1.8
RXN-9557	EC-4.2.1.59
3.2.1.142-RXN	EC-3.2.1.142
TRANS-PENTAPRENYLTRANSFERASE-RXN	EC-2.5.1.83
RXN-9600	EC-1.4.3.22
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	EC-5.5.1.4
RXN1F-143	EC-1.14.11
DMBPPRIBOSYLTRANS-RXN	EC-2.4.2.21
RXN-11811	
ORNCARBAMTRANSFER-RXN	EC-2.1.3.3
RXN-8529	EC-5.3.2.6
RXN-13363	EC-1.1.1
RXN-11368	EC-2.5.1.39
RXN0-901	EC-1.17.1.4
BETA-UREIDOPROPIONASE-RXN	EC-3.5.1.6
1.8.4.14-RXN	EC-1.8.4.14
3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN	EC-3.1.2.4
GART-RXN	EC-2.1.2.2
6PFRUCTPHOS-RXN	EC-2.7.1.11
SUGAR-PHOSPHATASE-RXN	EC-3.1.3.23
RXN-13506	EC-1.14.13.173
RXN-14922	EC-5.5.1.24
KETOACYLCOATHIOL-RXN	EC-2.3.1.16
PROSTAGLANDIN-E-SYNTHASE-RXN	EC-5.3.99.3
RXN-17107	EC-1.2.1.50
RXN-6182	EC-5.3.1.9
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	EC-3.5.2.9
RXN-13415	
RXN-17127	EC-6.3.1.20
ABC-11-RXN	EC-3.6.3
RXN-11852	EC-2.3.1.195
RXN-12496	EC-5.5.1.19
RXN-14535	EC-1.3.1.102
RXN-11566	EC-1.5.1.43
RXN-8340	EC-4.1.99.22
RXN66-313	EC-1.1.1.170
RXN-11729	EC-1.1.1
RXN-15068	EC-3.1.1.4
RXN66-323	EC-1.3.1.21
2.3.1.176-RXN	EC-2.3.1.176
PSEUDOURIDINE-KINASE-RXN	EC-2.7.1.83
RXN-18963	
RXN-9015	EC-1.5.3.17	EC-1.5.3.16
POLYSIALIC-ACID-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.136
RXN-10702	EC-1.1.1.35
RXN0-5074	EC-3.6.1
MEPROPCOA-FAD-RXN	EC-1.3.8
3.6.4.2-RXN	EC-3.6.4.2
RXN66-477	EC-6.2.1.3
BENZENE-12-DIOXYGENASE-RXN	EC-1.14.12.3
VAGL-RXN	EC-2.6.1.48
RXN-12348	EC-2.1.1
LIPIDXSYNTHESIS-RXN	EC-3.6.1.54
RXN-14354	EC-2.4.1.25
RXN-9549	EC-3.1.2.14
ORNITHINE-GLU-AMINOTRANSFORASE-RXN	EC-2.6.1.13
RXN-6102	EC-6.3.2.17
RXN-16395	EC-3.1.2.2
RXN0-5190	EC-4.2.2
R621-RXN	EC-1.14.12.17
RXN-13891	EC-1.3.1
RXN-1884	EC-1.1.1.316
RXN-15881	EC-2.8.1.7
RXN-16406	EC-1.1.1
URUR-RXN	EC-3.5.3.26
RXN-16096	EC-4.2.1.134
RXN-11382	EC-1.1.1.372
ACETATE--COA-LIGASE-RXN	EC-6.2.1.1
RXN-3541	EC-1.10.3.3
TRANS-RXN-137	
RXN-18962	
IGPSYN-RXN	EC-4.1.1.48
RXN-15734	EC-2.5.1.105
THIOSULFATE-SULFURTRANSFERASE-RXN	EC-2.8.1.1
RXN-2542	EC-2.1.1.295
RXN-15402	EC-2.1.1
TRANS-RXN4LZ-0	
2-OXOGLUTARATE-SYNTHASE-RXN	EC-1.2.7.3
RXN-12182	EC-1.1.1
RXN-13642	EC-1.13.11.68
GTPPYPHOSKIN-RXN	EC-2.7.6.5
RXN-11758	EC-2.1.1.64
2.4.1.206-RXN	EC-2.4.1.206
INOSINE-NUCLEOSIDASE-RXN	EC-3.2.2.2
TROPINONE-REDUCTASE-RXN	EC-1.1.1.236
RXN-9031	EC-5.3.3.17
RXN-12226	EC-1.14.99.45
TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN	EC-2.5.1.84
RXN-13323	EC-2.5.1.32
2.3.1.43-RXN	EC-2.3.1.43
RXN-8186	
RXN-14325	
3.1.4.17-RXN	EC-3.1.4.17
ARYLESTERASE-RXN	EC-3.1.1.2
1.14.13.99-RXN	EC-1.14.14.26
GLUCURONOKINASE-RXN	EC-2.7.1.43
RXN-10462	EC-2.3.1.15
RXN-7892	EC-1.14.99
FGAMSYN-RXN	EC-6.3.5.3
O-SUCCHOMOSERLYASE-RXN	EC-2.5.1.48
2.7.7.13-RXN	EC-2.7.7.13
GLYRIBONUCSYN-RXN	EC-6.3.4.13
TRANS-RXN4LZ-6860	
RXN-9663	EC-1.3.1.9
RXN-13892	EC-1.14.19.20
RXN-8305	EC-1.14.19.23
R170-RXN	EC-1.16.1
3.1.1.73-RXN	EC-3.1.1.73
NAD-SYNTH-GLN-RXN	EC-6.3.5.1
RXN-10068	EC-2.7.4.26
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	EC-2.7.1.67
GCVP-RXN	EC-1.4.4.2
RXN-9523	EC-2.3.1.179	EC-2.3.1.41
RXN0-986	EC-1.14.11.33
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	EC-3.1.3.7
RXN0-5413	EC-2.4.1
PEPDEPHOS-RXN	EC-2.7.1.40
RXN-8366	EC-1.14.19.35
RXNQT-4386	EC-2.7.7.41
CTPSYN-RXN	EC-6.3.4.2
KYNURENINE-3-MONOOXYGENASE-RXN	EC-1.14.13.9
RXN-10032	EC-1.4.1.24
GLUTSEMIALDEHYDROG-RXN	EC-1.2.1.41
RXN-11938	EC-1.1.1
1.11.1.12-RXN	EC-1.11.1.12
ACETYLSEROTONIN-O-METHYLTRANSFERASE-RXN	EC-2.1.1.4
RXN-17850	EC-2.3.1.254
GLUTCYSLIG-RXN	EC-6.3.2.2
TRANS-RXN0-554	
2.3.2.15-RXN	EC-2.3.2.15
DIMETHUROPORDEHYDROG-RXN	EC-1.3.1.76
CHOLINE-KINASE-RXN	EC-2.7.1.32
RXN-13308	EC-1.3.1.93
OXALOACETATE-TAUTOMERASE-RXN	EC-5.3.2.2
AICARSYN-RXN	EC-4.3.2.2
RXN-12200	EC-3.6.1.5
RXN-8784	
RXNQT-4191	EC-3.1.3.100
RXN-14208	EC-3.6.1.5
RXN-11404	
RXN-18960	
RXN-12199	EC-3.6.1.5
RXN-13644	
RXN-9558	EC-1.3.1.9
MALONYL-COA-DECARBOXYLASE-RXN	EC-4.1.1.9
RXN-8813	EC-2.5.1.81
1.3.7.2-RXN	EC-1.3.7.2
RXN-11354	EC-5.2.1.12
N-ACETYLTRANSFER-RXN	EC-2.3.1.1
2.3.1.23-RXN	EC-2.3.1.23
RXN3DJ-35528	EC-2.3.1.87
RXN-8090	EC-1.2.3.9
RXN-12681	EC-1.14.13.134
RXN-8508	
RXN-16401	EC-6.2.1.3
ADENINE-DEAMINASE-RXN	EC-3.5.4.2
RXN-16003	EC-1.1.1.276
CARBOXYMETHYLENEBUTENOLIDASE-RXN	EC-3.1.1.45
R601-RXN	EC-1.3.5.4
FPPSYN-RXN	EC-2.5.1.10
RXN-11757	EC-2.1.1.114
RXN-7697	EC-2.3.1.199
RXN-2762	EC-2.1.1.295
RXN-8092	EC-1.2.3.1
RXN-11959	EC-1.1.1
2OXOGLUTARATEDEH-RXN	
UDPGLUCEPIM-RXN	EC-5.1.3.2
4.2.1.58-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
PRAISOM-RXN	EC-5.3.1.24
RXN-7163	EC-2.7.1.158
RXN-13300	EC-1.1.1.330
NUCLEOSIDE-DIP-KIN-RXN	EC-2.7.4.6
THIAMIN-PYROPHOSPHOKINASE-RXN	EC-2.7.6.2
RXN-9191	EC-2.1.1.163
MALSYN-RXN	EC-2.3.3.9
RXN-15064	EC-2.3.1
1.8.5.1-RXN	EC-1.8.5.1
RXN-7894	EC-1.14.99
RXN-2961	EC-4.4.1.22
RXN-9545	EC-4.2.1.119
RXN-7737	EC-2.6.1.83
RXNQT-4393	EC-2.7.8.5
RXN-7800	
RIBOFLAVINKIN-RXN	EC-2.7.1.26
PSII-RXN	EC-1.10.3.9
UDP-ARABINOSE-4-EPIMERASE-RXN	EC-5.1.3.5
NADH-DEHYDROG-RXN	EC-1.6.5.3
R-6-HYDROXYNICOTINE-OXIDASE-RXN	EC-1.5.3.6
PHOSCHOL-RXN	EC-3.1.4.4
DEOXYGUANOSINE-KINASE-RXN	EC-2.7.1.74	EC-2.7.1.113	EC-2.7.1.145
2.7.1.153-RXN	EC-2.7.1.153
1.14.12.1-RXN	EC-1.14.12.1
RXN0-5213	EC-1.1.1
3.6.3.35-RXN	EC-3.6.3.35
HOMOSERKIN-RXN	EC-2.7.1.39
CDP-GLYCEROL-PYROPHOSPHATASE-RXN	EC-3.6.1.16
RXN-11454	EC-1.1.99.36
RXN-9449	
RXN-7665	
3.2.1.114-RXN	EC-3.2.1.114
GLYC3PDEHYDROGBIOSYN-RXN	EC-1.1.1.94
RXN-10740	EC-1.1.1
RXN-14301	
RXN-9537	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
GALACTURIDYLYLTRANS-RXN	EC-2.7.7.12
RXN-15029	
RXN-7911	EC-1.3.1.34
RXN-18958	
RXN-10938	EC-3.1.3
RXN-13565	
RXNIO2-3	EC-1.14.99
CHLORIDE-PEROXIDASE-RXN	EC-1.11.1.10
RXN-6601	EC-2.3.2.2
LEUKOTRIENE-A4-HYDROLASE-RXN	EC-3.3.2.6
TRIACYLGLYCEROL-LIPASE-RXN	EC-3.1.1.3
RXN-9528	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-10061	EC-4.2.1.59
RXNQT-4170	EC-4.2.1.170
RXN-7976	EC-1.14.14
1.1.1.283-RXN	EC-1.1.1.283
RXN-13185	EC-1.23.5.1
RXN-7658	
PROTOHEMEFERROCHELAT-RXN	EC-4.99.1.1
RXN0-1281	EC-1.1.1
RXN-18957	
ALBENDAZOLE-MONOOXYGENASE-RXN	EC-1.14.13.32
RXN-8316	EC-1.14.19.23
ORNDECARBOX-RXN	EC-4.1.1.17
RXN-14879	
RXN-12878	
PYRROLINECARBREDUCT-RXN	EC-1.5.1.2
RXN-2541	EC-2.5.1.115
QUERCETIN-23-DIOXYGENASE-RXN	EC-1.13.11.24
2.4.1.224-RXN	EC-2.4.1.224
RXN-8769	EC-6.3.5.11
RXN-11112	EC-3.4.17.23
RXN-13493	
RXN-7101	
PREPHENATE-ASP-TRANSAMINE-RXN	EC-2.6.1.78
PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN	EC-1.10.9.1
1.14.13.93-RXN	EC-1.14.13.93
CYSTATHIONINE-BETA-LYASE-RXN	EC-4.4.1.8
UNSPECIFIC-MONOOXYGENASE-RXN	EC-1.14.14.1
RXN-17882	
1.1.3.37-RXN	EC-1.1.3.37
RXN-9627	EC-3.1.2.2
INORGPYROPHOSPHAT-RXN	EC-3.6.1.1
RXN-1823	EC-3.2.1.1
RXN-14220	
GLYCERONE-KINASE-RXN	EC-2.7.1.29
RXN1F-152	EC-1.14.15.q
RXN-11783	EC-1.13.11.75
RXN-8309	EC-1.14.19.35
RXN-9487	
RXN-14277	EC-2.3.1.16
RXN-18747	EC-1.1.1.348
R222-RXN	EC-1.2.1.3
FATTY-ACYL-COA-SYNTHASE-RXN	EC-2.3.1.86
RXN-9951	
RXN-8214	EC-1.14.15.q
RXN-14181	EC-3.1.3.74
NICOTINAMID-RXN	EC-3.5.1.19
3.1.1.23-RXN	EC-3.1.1.23
SULFITE-REDUCTASE-FERREDOXIN-RXN	EC-1.8.7.1
RXN-11315	EC-1.1.1.307
S-ADENMETSYN-RXN	EC-2.5.1.6
RXN-17883	
RXN-18936	EC-3.3.2.9
5-FORMYL-THF-CYCLO-LIGASE-RXN	EC-6.3.3.2
RXN-15451	
RXN-15130	EC-4.4.1.1
RXN-7919	EC-3.1.2.6
RXN-7772	
L-ARABINITOL-4-DEHYDROGENASE-RXN	EC-1.1.1.12
HISTIDPHOS-RXN	EC-3.1.3.15
RXN-12361	EC-2.3.1
RXN-8991	
ASNSYNB-RXN	EC-6.3.5.4
RXN-5962	EC-1.14.99.45
RXN-8307	EC-1.14.19.42
RXN-11375	EC-3.5.1.23
RXN-9527	EC-2.3.1.179	EC-2.3.1.41
RXN-9989	EC-3.1.3.29
DIHYDROOROT-RXN	EC-3.5.2.3
RXN-7798	EC-1.14.19.29
RXN-14972	
RXN-15815	
RXN-7663	EC-2.5.1.62
LTAA-RXN	EC-4.1.2.48	EC-4.1.2.49
ABC-12-RXN	EC-3.6.3.21
3.2.1.65-RXN	EC-3.2.1.65
OXALODECARB-RXN	EC-1.1.1.40	EC-4.1.1.3
CHLOROPHYLLASE-RXN	EC-3.1.1.14
RXN-9222	EC-2.5.1.39
RXN-12359	EC-6.2.1
3.2.1.48-RXN	EC-3.2.1.26	EC-3.2.1.48
RXN-15124	
RXN-13643	EC-1.13.11.69
RXN-16413	
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.44
ADENOSINE-NUCLEOSIDASE-RXN	EC-3.2.2.7
ASPCARBTRANS-RXN	EC-2.1.3.2
RXN-17252	
RXN-17888	EC-2.3.2.8
SHIKIMATE-KINASE-RXN	EC-2.7.1.71
RXN-9632	EC-2.3.1.41
TRANS-RXN-243	
2.1.1.103-RXN	EC-2.1.1.103
RXN-9516	EC-2.3.1.179	EC-2.3.1.41
2.4.1.142-RXN	EC-2.4.1.142
RXN-14160	EC-3.1.4.46	EC-3.1.4.2
5-METHYLTHIORIBOSE-KINASE-RXN	EC-2.7.1.100
HOLO-ACP-SYNTH-RXN	EC-2.7.8.7
2.1.1.138-RXN	EC-2.1.1.137
ENOYL-COA-DELTA-ISOM-RXN	EC-5.3.3.8
MYO-INOSITOL-1-KINASE-RXN	EC-2.7.1.64
RXN-11109	EC-3.6.4.13
RXNIO2-7	EC-1.14.99
3.2.1.106-RXN	EC-3.2.1.106
RXN-12801	EC-2.1.1.238
RXN-11819	EC-1.11.2.3
PROCOLLAGEN-LYSINE-5-DIOXYGENASE-RXN	EC-1.14.11.4
RXN-12197	EC-3.6.1.6
3.1.3.74-RXN	EC-3.1.3.74
2.3.1.45-RXN	EC-2.3.1.45
RXN-1026	
RXN-18192	
RXN-18105	
RXN-14769	EC-1.1.1
ATPASE-RXN	EC-3.6.1.15	EC-3.6.1.3
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-11662	EC-1.1.1.35
ALLANTOATE-DEIMINASE-RXN	EC-3.5.3.9
RXN-13658	EC-2.1.1
3.6.3.1-RXN	EC-3.6.3.1
PNP-RXN	EC-2.4.2.1
MALTACETYLTRAN-RXN	EC-2.3.1.79
RXN-13907	EC-1.14.16.1
RXN-12752	EC-5.1.99.6
RXN-7716	EC-1.8.1.4
SPERMIDINESYN-RXN	EC-2.5.1.16
