This report was generated on 03-Jan-2020  11:46:26.

* = already updated

Compounds


132 Compounds have structure differences between ChlamyCyc and MetaCyc.
 	ID	Name	Slot	ChlamyCyc Value	MetaCyc Value	
	RXN-10702	3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3R-hydroxyhexanoyl)-CoA + NAD<sup>+</sup>  &rarr;  3-oxo-2-(cis-2'-pentenyl)-cyclopentane-1-(3-oxohexanoyl)-CoA + NADH + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-12861	dehydroascorbate (bicyclic form)  &rarr;  2,3-dioxo-L-gulonate + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-7659	tetrahydrogeranylgeranyl diphosphate + NADP<sup>+</sup>  &harr;  dihydrogeranylgeranyl diphosphate + NADPH + H<SUP>+</SUP>	REVERSIBLE	REVERSIBLE (inherited or computed)	
	RXN-13302	(3<i>R</i>)-3-hydroxy-arachidoyl-CoA  &rarr;  <i>trans</i>-arachido-2-enoyl-CoA + H<sub>2</sub>O	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-13198	propan-1-ol + NAD<sup>+</sup>  &larr;  1-propanal + NADH + H<SUP>+</SUP>	RIGHT-TO-LEFT	RIGHT-TO-LEFT (inherited or computed)	
	RXN-4305	dimethylallyl diphosphate + ADP  &rarr;  <i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-diphosphate + diphosphate	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	PSEUDOURIDINE-KINASE-RXN	pseudouridine + ATP  &rarr;  pseudouridine 5'-phosphate + ADP + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-12200	CTP + 2 H<sub>2</sub>O  &rarr;  CMP + 2 phosphate + 2 H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-9515	a butanoyl-[acp] + NADP<sup>+</sup>  &larr;  a (2<i>E</i>)-but-2-enoyl-[acp] + NADPH + H<SUP>+</SUP>	RIGHT-TO-LEFT	RIGHT-TO-LEFT (inherited or computed)	
	PHENDEHYD-RXN	phenylacetaldehyde + NAD<sup>+</sup> + H<sub>2</sub>O  &harr;  phenylacetate + NADH + 2 H<SUP>+</SUP>	REVERSIBLE	REVERSIBLE (inherited or computed)	
	ADENYLYLSULFATE-REDUCTASE-RXN	sulfite + AMP + an oxidized unknown electron carrier + 2 H<SUP>+</SUP>  &harr;  adenosine 5'-phosphosulfate + a reduced unknown electron carrier	REVERSIBLE	REVERSIBLE (inherited or computed)	
	TIGLYLCOA-HYDROXY-RXN	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA  &harr;  (<i>E</i>)-2-methylcrotonoyl-CoA + H<sub>2</sub>O	REVERSIBLE	REVERSIBLE (inherited or computed)	
	RXN-1623	an acyl-CoA + a 1-acyl-<i>sn</i>-glycerol 3-phosphate  &rarr;  a 1,2-diacyl-<i>sn</i>-glycerol 3-phosphate + coenzyme A	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	GMP-SYN-NH3-RXN	XMP + ammonium + ATP  &rarr;  GMP + AMP + diphosphate + 2 H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	DIMETHUROPORDEHYDROG-RXN	precorrin-2 + NAD<sup>+</sup>  &rarr;  sirohydrochlorin + NADH + 2 H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-14188	5-hydroxy-CTP + H<sub>2</sub>O  &rarr;  5-hydroxy-CMP + diphosphate + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN1F-150	<i>all-trans</i>-lycopene  &rarr;  &gamma;-carotene	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-12872	cyclic-2,3-<i>O</i>-oxalyl-L-threonate  &rarr;  cyclic- 3,4-<i>O</i>-oxalyl-L-threonate	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-13415	dehydrospermidine + a [deoxyhypusine synthase]-L-lysine  &rarr;  a [deoxyhypusine synthase]-N-(4-aminobutylidene)-lysine + propane-1,3-diamine	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	1.8.98.2-RXN	a [peroxiredoxin]-(<i>S</i>-hydroxy-<i>S</i>-oxocysteine) + ATP + a [protein] with reduced L-cysteine residues  =  a [peroxiredoxin]-(<i>S</i>-hydroxycysteine) + ADP + a [protein] carrying a disulfide bond + phosphate + H<SUP>+</SUP>	NIL	PHYSIOL-LEFT-TO-RIGHT	
	1TRANSKETO-RXN	D-sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate  &harr;  D-ribose 5-phosphate + D-xylulose 5-phosphate	REVERSIBLE	REVERSIBLE (inherited or computed)	
	ANTHRANSYN-RXN	chorismate + L-glutamine  &harr;  anthranilate + L-glutamate + pyruvate + H<SUP>+</SUP>	REVERSIBLE	REVERSIBLE (inherited or computed)	
	RXN-11667	(<i>S</i>)-3-hydroxybutanoyl-CoA  &harr;  crotonyl-CoA + H<sub>2</sub>O	REVERSIBLE	REVERSIBLE (inherited or computed)	
	ORNDECARBOX-RXN	L-ornithine + H<SUP>+</SUP>  &rarr;  CO<SUB>2</SUB> + putrescine	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN0-884	dimethylallyl diphosphate + 2 an oxidized ferredoxin [iron-sulfur] cluster + H<sub>2</sub>O  &larr;  (<i>E</i>)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + 2 a reduced ferredoxin [iron-sulfur] cluster + 2 H<SUP>+</SUP>	RIGHT-TO-LEFT	RIGHT-TO-LEFT (inherited or computed)	
	RXN-12590	D-ribose 5-phosphate + D-glyceraldehyde 3-phosphate + ammonium  &rarr;  pyridoxal 5'-phosphate + phosphate + H<SUP>+</SUP> + 4 H<sub>2</sub>O	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-11938	4&alpha;-carboxy-stigmasta-7,24(24<sup>1</sup>)-dien-3&beta;-ol + NAD<sup>+</sup>  &rarr;  avenastenone + CO<SUB>2</SUB> + NADH	LEFT-TO-RIGHT	PHYSIOL-LEFT-TO-RIGHT	
	THIOREDOXIN-RXN	a reduced thioredoxin + an oxidized unknown electron carrier  &rarr;  an oxidized thioredoxin + a reduced unknown electron carrier	RIGHT-TO-LEFT	RIGHT-TO-LEFT (inherited or computed)	
	RXN-15125	L-serine  &rarr;  2-aminoprop-2-enoate + H<sub>2</sub>O	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-11126	L-glutamate + L-tyrosine + L-2,4-diaminobutanoate + 2 L-serine + L-arginine + 2 <i>N</i><sup>5</sup>-formyl-<i>N</i><sup>5</sup>-hydroxy-L-ornithine + L-lysine + 2 L-threonine + 11 ATP  &rarr;  ferribactin + 11 AMP + 11 diphosphate + H<sub>2</sub>O + 12 H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	ORNCARBAMTRANSFER-RXN	L-ornithine + carbamoyl phosphate  &harr;  L-citrulline + phosphate + H<SUP>+</SUP>	REVERSIBLE	REVERSIBLE (inherited or computed)	
	RXN-14213	dTDP + H<sub>2</sub>O  &rarr;  dTMP + phosphate + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	SUCROSE-PHOSPHATE-SYNTHASE-RXN	UDP-&alpha;-D-glucose + &beta;-D-fructofuranose 6-phosphate  &rarr;  sucrose 6<sup>F</sup>-phosphate + UDP + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-15597	monodehydroascorbate radical<SUB>[in]</SUB> + e<SUP>-</SUP><SUB>[membrane]</SUB>  &rarr;  L-ascorbate<SUB>[in]</SUB>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	TRANS-PENTAPRENYLTRANSFERASE-RXN	(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate + 3 isopentenyl diphosphate  &rarr;  all-<i>trans</i>-hexaprenyl diphosphate + 3 diphosphate	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-1223	UDP-&alpha;-D-sulfoquinovopyranose + H<sub>2</sub>O  &larr;  UDP-&alpha;-D-glucose + sulfite + H<SUP>+</SUP>	RIGHT-TO-LEFT	RIGHT-TO-LEFT (inherited or computed)	
	NAPHTHOATE-SYN-RXN	4-(2'-carboxyphenyl)-4-oxobutyryl-CoA + H<SUP>+</SUP>  &rarr;  1,4-dihydroxy-2-naphthoyl-CoA + H<sub>2</sub>O	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	ISPH2-RXN	isopentenyl diphosphate + 2 an oxidized ferredoxin [iron-sulfur] cluster + H<sub>2</sub>O  &larr;  (<i>E</i>)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + 2 a reduced ferredoxin [iron-sulfur] cluster + 2 H<SUP>+</SUP>	RIGHT-TO-LEFT	RIGHT-TO-LEFT (inherited or computed)	
	N-ACETYLTRANSFER-RXN	L-glutamate + acetyl-CoA  &harr;  <i>N</i>-acetyl-L-glutamate + coenzyme A + H<SUP>+</SUP>	REVERSIBLE	REVERSIBLE (inherited or computed)	
	RXN-13719	(<i>R</i>)-2-hydroxybutanoate + NADP<sup>+</sup>  =  2-oxobutanoate + NADPH + H<SUP>+</SUP>	NIL	REVERSIBLE	
	RXN-1641	a phosphatidylcholine + a 1,2-diacyl-<i>sn</i>-glycerol  &rarr;  a triacyl-<i>sn</i>-glycerol + a 1-acyl-<i>sn</i>-glycero-3-phosphocholine	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-13908	a 10-formyltetrahydrofolate-4a-carbinolamine  &rarr;  an <i>N</i><sup>10</sup>-formyldihydrofolate + H<sub>2</sub>O	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN1F-151	&gamma;-carotene  &rarr;  &beta;-carotene	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	23-DIMETHYLMALATE-LYASE-RXN	(2R,3S)-2,3-dimethylmalate  &rarr;  propanoate + pyruvate	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	EXOPOLYPHOSPHATASE-RXN	(polyphosphate)<sub>(n)</sub> + H<sub>2</sub>O  &rarr;  (polyphosphate)<sub>(n-1)</sub> + phosphate	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-17472	<i>S</i>-adenosyl-L-methionine + a sulfurated [sulfur carrier] + dethiobiotin + 2 a reduced [2Fe-2S] ferredoxin + H<SUP>+</SUP>  &rarr;  an unsulfurated [sulfur carrier] + 9-mercaptodethiobiotin + 5'-deoxyadenosine + L-methionine + 2 an oxidized [2Fe-2S] ferredoxin	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-12647	an oxidized plastocyanin<SUB>[in]</SUB> + e<SUP>-</SUP><SUB>[membrane]</SUB>  &rarr;  a reduced plastocyanin<SUB>[in]</SUB>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-13303	(3<i>R</i>)-3-hydroxy-behenoyl-CoA  &rarr;  <i>trans</i>-docos-2-enoyl-CoA + H<sub>2</sub>O	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	2.7.1.139-RXN	D-<i>myo</i>-inositol (1,3,4)-trisphosphate + ATP  &rarr;  D-<i>myo</i>-inositol (1,3,4,5)-tetrakisphosphate + ADP + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	a 1-phosphatidyl-1D-<i>myo</i>-inositol + ATP  &rarr;  a 1-phosphatidyl-1D-myo-inositol 3-phosphate + ADP + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-9663	a palmitoyl-[acp] + NAD<sup>+</sup>  &larr;  a (2<i>E</i>)-hexadec-2-enoyl-[acp] + NADH + H<SUP>+</SUP>	RIGHT-TO-LEFT	RIGHT-TO-LEFT (inherited or computed)	
	RXN-10061	a (3<i>R</i>)-3-hydroxyhexacosanoyl-[acp]  &rarr;  a <i>trans</i>-hexacos-2-enoyl-[acp] + H<sub>2</sub>O	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	LUMAZINESYN-RXN	5-amino-6-(D-ribitylamino)uracil + 1-deoxy-L-glycero-tetrulose 4-phosphate  &rarr;  6,7-dimethyl-8-(1-D-ribityl)lumazine + phosphate + H<SUP>+</SUP> + 2 H<sub>2</sub>O	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	DCDPKIN-RXN	dCDP + ATP  &rarr;  dCTP + ADP	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	2.4.1.225-RXN	UDP-&alpha;-D-glucuronate + a 3-<i>O</i>-[&alpha;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcA-(1&rarr;3)-&beta;-D-Gal-(1&rarr;3)-&beta;-D-Gal-(1&rarr;4)-&beta;-D-Xyl]-L-seryl-[protein]  &rarr;  a 3-<i>O</i>-[&beta;-D-GlcA-(1&rarr;3)-&alpha;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcA-(1&rarr;3)-&beta;-D-Gal-(1&rarr;3)-&beta;-D-Gal-(1&rarr;4)-&beta;-D-Xyl]-L-seryl-[protein] + UDP + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-12299	(E)-2-hexenol + NADP<sup>+</sup>  &larr;  (E)-2-hexenal + NADPH + H<SUP>+</SUP>	RIGHT-TO-LEFT	RIGHT-TO-LEFT (inherited or computed)	
	RXN-4303	dimethylallyl diphosphate + ATP + H<SUP>+</SUP>  &rarr;  <i>N</i><sup>6</sup>-(&Delta;<sup>2</sup>-isopentenyl)-adenosine 5'-triphosphate + diphosphate	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	METHYLGLUTACONYL-COA-HYDRATASE-RXN	(<i>S</i>)-3-hydroxy-3-methylglutaryl-CoA  &harr;  3-methylglutaconyl-CoA + H<sub>2</sub>O	REVERSIBLE	REVERSIBLE (inherited or computed)	
	SPHINGOSINE-N-ACYLTRANSFERASE-RXN	an acyl-CoA + a sphingoid base  =  a ceramide + coenzyme A + H<SUP>+</SUP>	NIL	PHYSIOL-LEFT-TO-RIGHT	
	RXN-13909	a 10-formyltetrahydrofolate + NAD<sup>+</sup>  &larr;  an <i>N</i><sup>10</sup>-formyldihydrofolate + NADH + H<SUP>+</SUP>	RIGHT-TO-LEFT	RIGHT-TO-LEFT (inherited or computed)	
	GDPKIN-RXN	GDP + ATP  &rarr;  GTP + ADP	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-11928	4&alpha;-carboxy-4&beta;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-ergost-24(24<sup>1</sup>)-en-3&beta;-ol + NAD<sup>+</sup>  &rarr;  cycloeucalenone + CO<SUB>2</SUB> + NADH	LEFT-TO-RIGHT	PHYSIOL-LEFT-TO-RIGHT	
	RXN-7682	hypoxanthine + NAD<sup>+</sup> + H<sub>2</sub>O  &rarr;  xanthine + NADH + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXNQT-4301	ADP-5-ethyl-4-methylthiazole-2-carboxylate + H<sub>2</sub>O  &rarr;  AMP + 4-methyl-5-(2-phosphooxyethyl)thiazole + CO<SUB>2</SUB> + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	L-isoleucine + 2-oxoglutarate  &harr;  L-glutamate + (<i>S</i>)-3-methyl-2-oxopentanoate	REVERSIBLE	REVERSIBLE (inherited or computed)	
	DIHYDROPYRIMIDINASE-RXN	5,6-dihydrouracil + H<sub>2</sub>O  &harr;  3-ureidopropanoate + H<SUP>+</SUP>	REVERSIBLE	REVERSIBLE (inherited or computed)	
	RXN-16393	laurate + ATP + coenzyme A  &rarr;  lauroyl-CoA + AMP + diphosphate	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-13417	an [eIF5A-precursor]-N-(4-aminobutylidene)-lysine + NADH + H<SUP>+</SUP>  &rarr;  an [eIF5A-precursor]-deoxyhypusine + NAD<sup>+</sup>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	2.7.7.1-RXN	&beta;-nicotinamide D-ribonucleotide + ATP + H<SUP>+</SUP>  &rarr;  NAD<sup>+</sup> + diphosphate	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	2.4.1.198-RXN	a 1-phosphatidyl-1D-<i>myo</i>-inositol + UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine  =  a 6-(<i>N</i>-acetyl-&alpha;-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol + UDP + H<SUP>+</SUP>	NIL	PHYSIOL-LEFT-TO-RIGHT	
	ADENYLYLSULFKIN-RXN	adenosine 5'-phosphosulfate + ATP  &harr;  3'-phosphoadenylyl-sulfate + ADP + H<SUP>+</SUP>	REVERSIBLE	PHYSIOL-LEFT-TO-RIGHT	
	GLUTDECARBOX-RXN	L-glutamate + H<SUP>+</SUP>  &rarr;  CO<SUB>2</SUB> + 4-aminobutanoate	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	UDPNACETYLGLUCOSAMACYLTRANS-RXN	a (3<i>R</i>)-3-hydroxytetradecanoyl-[acp] + UDP-<i>N</i>-acetyl-&alpha;-D-glucosamine  &rarr;  UDP-3-<i>O</i>-[(3<i>R</i>)-3-hydroxymyristoyl]-<i>N</i>-acetyl-&alpha;-D-glucosamine + acyl-carrier protein	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-7801	a dihydroceramide (C18) + a sterol 3-glucoside  &rarr;  a &beta;-D-glucosyl-<i>N</i>-acylsphinganine + a sterol	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	FUMARYLACETOACETASE-RXN	4-fumaryl-acetoacetate + H<sub>2</sub>O  &rarr;  fumarate + acetoacetate + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-12862	L-dehydro-ascorbate + H<sub>2</sub>O  &rarr;  dehydroascorbate (bicyclic form)	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	GTPPYPHOSKIN-RXN	GTP + ATP  &rarr;  pppGpp + AMP	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-14215	dADP + H<sub>2</sub>O  &rarr;  dAMP + phosphate + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN1G-395	an arachidoyl-[acp] + NAD<sup>+</sup>  &larr;  a (2<i>E</i>)-icos-2-enoyl-[acp] + NADH + H<SUP>+</SUP>	RIGHT-TO-LEFT	RIGHT-TO-LEFT (inherited or computed)	
	2.4.1.119-RXN	&alpha;-D-Glc-(1&rarr;2)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol + a [protein]-L-asparagine  &rarr;  a dolichyl diphosphate + Glc<sub>3</sub>Man<sub>9</sub>GlcNAc<sub>2</sub>-[protein] + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	SEPIAPTERIN-REDUCTASE-RXN	L-<i>erythro</i>-7,8-dihydrobiopterin + NADP<sup>+</sup>  =  sepiapterin + NADPH + H<SUP>+</SUP>	NIL	PHYSIOL-RIGHT-TO-LEFT	
	HOMOSERKIN-RXN	L-homoserine + ATP  &rarr;  O-phospho-L-homoserine + ADP + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	TROPINE-DEHYDROGENASE-RXN	tropine + NADP<sup>+</sup>  &harr;  tropinone + NADPH + H<SUP>+</SUP>	REVERSIBLE	REVERSIBLE (inherited or computed)	
	ACETYLGLUTKIN-RXN	<i>N</i>-acetyl-L-glutamate + ATP  &harr;  <i>N</i>-acetylglutamyl-phosphate + ADP	REVERSIBLE	REVERSIBLE (inherited or computed)	
	CATAL-RXN	2 hydrogen peroxide  &rarr;  2 H<sub>2</sub>O + oxygen	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN66-14	4,4-dimethyl-5&alpha;-cholesta-8-en-3-&beta;-ol + NADP<sup>+</sup>  &larr;  4,4-dimethyl-5-&alpha;-cholesta-8,14-dien-3-&beta;-ol + NADPH + H<SUP>+</SUP>	RIGHT-TO-LEFT	RIGHT-TO-LEFT (inherited or computed)	
	ETHANOLAMINEPHOSPHOTRANSFERASE-RXN	a 1,2-diacyl-<i>sn</i>-glycerol + CDP-ethanolamine  &rarr;  an L-1-phosphatidylethanolamine + CMP + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	(<i>S</i>)-3-hydroxy-isobutanoate + NAD<sup>+</sup>  &rarr;  (<i>S</i>)-methylmalonate-semialdehyde + NADH + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-13336	a 1,2-diacyl-<i>sn</i>-glycerol 3-phosphate + ATP  &harr;  a 1,2-diacyl-<i>sn</i>-glycerol 3-diphosphate + ADP	REVERSIBLE	REVERSIBLE (inherited or computed)	
	RXN-8141	a CDP-diacylglycerol + an L-1-phosphatidyl-<i>sn</i>-glycerol  &rarr;  a cardiolipin + CMP + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-14352	glucose<sub>[in]</sub>  &rarr;  glucose<sub>[out]</sub>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	3.2.1.141-RXN	a maltooligosyl-trehalose + H<sub>2</sub>O  &rarr;  a maltodextrin + &alpha;,&alpha;-trehalose	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-2761	<i>all-trans</i>-nonaprenyl diphosphate + homogentisate + H<SUP>+</SUP>  &rarr;  2-methyl-6-all-trans-nonaprenyl-1,4-benzoquinol + CO<SUB>2</SUB> + diphosphate	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-11552	UDP-&beta;-L-arabinofuranose  &harr;  UDP-&beta;-L-arabinopyranose	REVERSIBLE	REVERSIBLE (inherited or computed)	
	RXN-14921	&delta;-tocotrienol  &larr;  2-methyl-6-geranylgeranyl-1,4-benzoquinol	RIGHT-TO-LEFT	RIGHT-TO-LEFT (inherited or computed)	
	RXN-10068	isopentenyl phosphate + ATP  &harr;  isopentenyl diphosphate + ADP	REVERSIBLE	REVERSIBLE (inherited or computed)	
	PSERTRANSAMPYR-RXN	(3R)-3-hydroxy-2-oxo-4 phosphooxybutanoate + L-glutamate  &harr;  4-phosphooxy-L-threonine + 2-oxoglutarate	REVERSIBLE	REVERSIBLE (inherited or computed)	
	UDPKIN-RXN	UDP + ATP  &rarr;  UTP + ADP	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-7741	primary fluorescent chlorophyll catabolite + 2 an oxidized ferredoxin [iron-sulfur] cluster  &larr;  red chlorophyll catabolite + 2 a reduced ferredoxin [iron-sulfur] cluster + 2 H<SUP>+</SUP>	RIGHT-TO-LEFT	RIGHT-TO-LEFT (inherited or computed)	
	RXN-7674	chlorophyllide <i>b</i> + phytyl diphosphate + 2 H<SUP>+</SUP>  &rarr;  chlorophyll <i>b</i> + diphosphate	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	2-DEHYDROPANTOATE-REDUCT-RXN	(R)-pantoate + NADP<sup>+</sup>  &larr;  2-dehydropantoate + NADPH + H<SUP>+</SUP>	RIGHT-TO-LEFT	RIGHT-TO-LEFT (inherited or computed)	
	RXN-16594	a dolichyl &beta;-D-mannosyl phosphate<sub>[in]</sub>  &rarr;  a dolichyl &beta;-D-mannosyl phosphate<sub>[out]</sub>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	3-DEHYDROSPHINGANINE-REDUCTASE-RXN	D-<i>erythro</i>-sphinganine + NADP<sup>+</sup>  &larr;  3-dehydrosphinganine + NADPH + H<SUP>+</SUP>	RIGHT-TO-LEFT	PHYSIOL-RIGHT-TO-LEFT	
	RXN-12204	a 6-phosphogluco-amylopectin + n ATP + n H<sub>2</sub>O  &rarr;  a 6-phosphogluco-3-phosphogluco-amylopectin + n AMP + n phosphate	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-13805	hexadecanedioyl-CoA + <i>sn</i>-glycerol 3-phosphate  =  1-C16:0-&alpha;,&omega;-dicarboxyl-2-lysophosphatidate + coenzyme A	NIL	PHYSIOL-LEFT-TO-RIGHT	
	IMPCYCLOHYDROLASE-RXN	IMP + H<sub>2</sub>O  &harr;  5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide	REVERSIBLE	REVERSIBLE (inherited or computed)	
	RXN-11377	a sphingoid 1-phosphate  &rarr;  <i>O</i>-phosphoethanolamine + an aldehyde	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-16402	18-hydroxyoleate + ATP + coenzyme A  &rarr;  18-hydroxyoleoyl-CoA + AMP + diphosphate	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-13641	&beta;-carotene  &harr;  9-<i>cis</i>-&beta;-carotene	REVERSIBLE	REVERSIBLE (inherited or computed)	
	DTDPDEHYDRHAMEPIM-RXN	dTDP-4-dehydro-6-deoxy-&alpha;-D-glucopyranose  &rarr;  dTDP-4-dehydro-&beta;-L-rhamnose	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN1F-66	chlorophyllide <i>a</i> + phytyl diphosphate + H<SUP>+</SUP>  &harr;  chlorophyll <i>a</i> + diphosphate	REVERSIBLE	REVERSIBLE (inherited or computed)	
	NADH-KINASE-RXN	ATP + NADH  &rarr;  ADP + NADPH + H<SUP>+</SUP>	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
	RXN-10971	phytate + ATP + H<SUP>+</SUP>  &rarr;  1D-<i>myo</i>-inositol 3-diphosphate 1,2,4,5,6-pentakisphosphate + ADP	LEFT-TO-RIGHT	LEFT-TO-RIGHT (inherited or computed)	
